Date,Open,High,Low,Close,Volume
2-May-12,1242.1,1274.4,1242.1,1267.25,1990724
3-May-12,1262.7,1284.1,1258.55,1279.5,1679461
4-May-12,1280,1295.25,1263.05,1276.8,1785859
7-May-12,1260,1278.5,1248.4,1273.25,1313881
8-May-12,1225,1234.7,1195.65,1200.7,4815789
9-May-12,1195,1234.6,1194.1,1225.55,4635772
10-May-12,1225.55,1241.8,1225,1232.55,1496310
11-May-12,1224,1236.9,1221.2,1230.75,1372595
14-May-12,1227.3,1234,1220,1225.95,1286876
15-May-12,1224,1233,1219.8,1226.3,937755
16-May-12,1220,1241.9,1206.75,1223.4,2283968
17-May-12,1222,1235,1199.05,1222,2068762
18-May-12,1204.8,1224.9,1202.65,1210.65,1328335
21-May-12,1211,1225,1204.05,1209.2,1113544
22-May-12,1221,1240,1213,1224.05,1180458
23-May-12,1233,1235.55,1214.1,1225.15,1081403
24-May-12,1225,1228.95,1207.1,1221.45,602837
25-May-12,1212.1,1225,1209.1,1220.8,457523
28-May-12,1224,1230,1215.05,1224.7,395097
29-May-12,1228,1248,1218.4,1240.35,787516
30-May-12,1231.25,1257,1231.25,1240.55,790757
31-May-12,1221,1255.9,1221,1245.35,2205801
1-Jun-12,1240,1245,1218.5,1224.6,739764
4-Jun-12,1210,1216,1196.2,1213.25,602215
5-Jun-12,1214,1230.9,1214,1226.5,1031699
6-Jun-12,1230,1263.75,1229.1,1251.15,1645954
7-Jun-12,1247,1249.9,1231.55,1240.2,1074864
8-Jun-12,1231.2,1242.6,1224.15,1230.9,1200122
11-Jun-12,1233,1246.05,1227.1,1233.55,772524
12-Jun-12,1221.1,1253,1221.1,1248.1,546071
13-Jun-12,1249,1260,1242.6,1250.4,725429
14-Jun-12,1249,1261.5,1245,1254,735562
15-Jun-12,1254.05,1280,1249,1272.45,993020
18-Jun-12,1276,1286.35,1250,1257.15,747694
19-Jun-12,1256.9,1279.25,1255.1,1273.95,884529
20-Jun-12,1274,1274,1243.3,1252.8,876870
21-Jun-12,1245.05,1252,1209,1224.05,2077990
22-Jun-12,1214.25,1239.9,1214.25,1233.45,959780
25-Jun-12,1237,1238.5,1211,1216.75,794379
26-Jun-12,1217.5,1237,1217.05,1235.1,554857
27-Jun-12,1236.25,1258.8,1236.25,1246.7,1152931
28-Jun-12,1246.95,1263.9,1236.25,1258.85,947114
29-Jun-12,1263.35,1287,1262.9,1277.45,995075
2-Jul-12,1279,1279,1256.45,1259.45,1055550
3-Jul-12,1265,1269.8,1230.3,1239.4,1113646
4-Jul-12,1243.5,1249.5,1231.55,1247.85,650903
5-Jul-12,1247.85,1247.85,1235.2,1240.6,760438
6-Jul-12,1240,1252.8,1227,1247.75,964964
9-Jul-12,1245,1264.55,1243.35,1259.4,956384
10-Jul-12,1265,1270.25,1249.55,1261.7,1258799
11-Jul-12,1253.25,1274.5,1253.25,1258.3,1017269
12-Jul-12,1225,1250,1219.3,1236,3929540
13-Jul-12,1273.8,1284,1243,1249.4,3608577
16-Jul-12,1249,1259.25,1202.9,1207.35,1810313
17-Jul-12,1218,1224,1175.2,1185.9,3191908
18-Jul-12,1195,1204.4,1178.5,1195.3,1487643
19-Jul-12,1203,1210,1195.25,1201,667676
20-Jul-12,1201,1228,1200.3,1223.05,1689113
23-Jul-12,1208,1227.2,1201,1214.25,1451599
24-Jul-12,1208.1,1218.65,1197.1,1209.15,824046
25-Jul-12,1204,1217,1196.9,1213.15,833015
26-Jul-12,1213,1221,1190.2,1198.45,1472873
27-Jul-12,1215,1230.2,1203.25,1225.3,921488
30-Jul-12,1234.9,1242.85,1214.55,1231,1312856
31-Jul-12,1235,1249.25,1226.25,1243.65,989982
1-Aug-12,1238.1,1244.8,1222.1,1224.65,647875
2-Aug-12,1229.95,1236.7,1222,1232.8,475529
3-Aug-12,1228,1240.25,1218.1,1236.9,488868
6-Aug-12,1245,1248,1225.2,1228.9,507770
7-Aug-12,1239,1266.2,1234.65,1264.05,1049577
8-Aug-12,1265,1266.65,1246.4,1249.2,821500
9-Aug-12,1250.25,1267.85,1250.25,1258.15,564737
10-Aug-12,1256,1285,1255.75,1280.05,1541178
13-Aug-12,1279.1,1279.1,1257.25,1266.3,714019
14-Aug-12,1260,1273.25,1259.25,1268.4,568465
16-Aug-12,1270.15,1271.55,1252.1,1263.55,894146
17-Aug-12,1265.05,1284.5,1264,1278.6,643788
21-Aug-12,1279.9,1305,1277.1,1298.65,1025788
22-Aug-12,1295.9,1309,1288.1,1291.65,567048
23-Aug-12,1291.75,1326,1291.75,1323.45,1168657
24-Aug-12,1320,1328.4,1313,1322.85,789469
27-Aug-12,1316.2,1330.9,1315,1320.45,483600
28-Aug-12,1326.95,1354.65,1315,1350.9,1133102
29-Aug-12,1350,1358,1335,1343.3,1069645
30-Aug-12,1339.9,1388.8,1323.4,1367.15,1666716
31-Aug-12,1357,1359,1334.65,1343.75,886924
3-Sep-12,1350,1354.9,1333,1337.85,611913
4-Sep-12,1332.9,1347,1322.05,1340.85,754009
5-Sep-12,1339.5,1371,1332,1364.5,1014480
6-Sep-12,1364.1,1379.9,1353.65,1375.6,1145842
7-Sep-12,1390,1396.8,1378.9,1386.7,1318328
8-Sep-12,1380.45,1389.4,1380.45,1386.5,42619
10-Sep-12,1383.2,1383.9,1365.95,1371.45,738012
11-Sep-12,1369,1395.6,1364.05,1392.65,637090
12-Sep-12,1396.95,1421,1389.9,1414.9,1057233
13-Sep-12,1413,1423.95,1409.55,1417.7,940605
14-Sep-12,1428,1439.8,1402.15,1413.1,1407420
17-Sep-12,1418.25,1421.55,1335.5,1342.1,2547195
18-Sep-12,1345,1345,1292.55,1299.8,3610103
20-Sep-12,1295,1336.9,1291.6,1322,2021253
21-Sep-12,1324.9,1332.3,1298.3,1304.05,2123879
24-Sep-12,1310,1313,1277,1289.45,2468510
25-Sep-12,1290.1,1309.75,1282.3,1293.2,1911847
26-Sep-12,1295.2,1305,1282,1285.6,1646406
27-Sep-12,1280.1,1299.5,1261.1,1271.55,2802699
28-Sep-12,1278.8,1305,1276.5,1295.9,1456498
1-Oct-12,1295,1309.8,1293.05,1302.95,897809
3-Oct-12,1301,1325,1301,1322.65,1159115
4-Oct-12,1320,1321.65,1308.65,1317.15,659642
5-Oct-12,1310.25,1319.35,1055,1304,1918055
8-Oct-12,1310,1315.25,1285.45,1292.7,842704
9-Oct-12,1297.9,1298.8,1285,1294.85,645577
10-Oct-12,1286,1301.75,1285,1289.35,581989
11-Oct-12,1290.25,1301.55,1286.05,1289.45,817763
12-Oct-12,1278.8,1313.65,1273.2,1298.45,1234771
15-Oct-12,1294,1302.4,1287.5,1294.65,407264
16-Oct-12,1297,1310.2,1287.8,1295.9,641372
17-Oct-12,1301.3,1304.9,1272,1283.15,798740
18-Oct-12,1286.25,1311,1280.2,1307.35,723564
19-Oct-12,1309,1311.4,1282,1289.7,1412808
22-Oct-12,1325.1,1334.9,1303,1318.9,2698671
23-Oct-12,1324,1324,1311.9,1314.6,568348
25-Oct-12,1315,1323.9,1304.25,1315.35,1127235
26-Oct-12,1306.2,1322,1306.2,1315.3,523675
29-Oct-12,1311,1319.8,1300.8,1308.4,407814
30-Oct-12,1304.4,1322,1304.4,1311.5,402634
31-Oct-12,1309.1,1316.8,1304,1315.5,499768
1-Nov-12,1314.9,1320.35,1310.2,1315.25,789884
2-Nov-12,1324.9,1338,1318.4,1331.2,836987
5-Nov-12,1335.9,1343.35,1325.3,1329.6,611913
6-Nov-12,1325,1337.4,1319.45,1320.55,648733
7-Nov-12,1325,1333.35,1321.5,1331.5,529195
8-Nov-12,1324,1334.7,1316.6,1331.2,619522
9-Nov-12,1330,1333.25,1320.9,1324.95,355691
12-Nov-12,1320,1348,1320,1334.5,733391
13-Nov-12,1335.15,1337.2,1322.05,1325.3,71507
15-Nov-12,1320.1,1322,1291,1294.15,867701
16-Nov-12,1299.8,1306.8,1280.1,1286.8,799445
19-Nov-12,1290.1,1295,1258.5,1262.35,838143
20-Nov-12,1275,1282.9,1256.05,1272.8,628020
21-Nov-12,1276.25,1294.7,1276.25,1282.2,470872
22-Nov-12,1282.1,1284.1,1271,1276.45,305812
23-Nov-12,1282,1291.4,1271.25,1288.6,374838
26-Nov-12,1288,1295.7,1285,1293.7,228167
27-Nov-12,1299.9,1299.9,1288.3,1295.2,669080
29-Nov-12,1310,1312,1292.35,1298.1,1735289
30-Nov-12,1295,1325,1291.1,1314,1789647
3-Dec-12,1315,1322,1305.2,1316.8,659756
4-Dec-12,1315.1,1321.8,1292.9,1299.45,797560
5-Dec-12,1300,1307.55,1288.6,1297.9,895029
6-Dec-12,1295,1295,1269,1280.7,1185046
7-Dec-12,1276.65,1280.7,1257.05,1264.15,978607
10-Dec-12,1262.1,1266.8,1231.2,1237.2,1514715
11-Dec-12,1235,1243,1210.35,1219.7,2463457
12-Dec-12,1224.9,1241,1221.1,1225.8,1243974
13-Dec-12,1230.1,1234.6,1217.1,1222.55,1148581
14-Dec-12,1217,1245,1216.15,1242.9,1098407
17-Dec-12,1239.15,1248.9,1202.1,1205.5,2241449
18-Dec-12,1214.7,1225,1197,1210.65,2344241
19-Dec-12,1216.1,1236.55,1216.1,1232.65,3321030
20-Dec-12,1227.15,1255,1227.15,1252.05,1157015
21-Dec-12,1250,1264.4,1237.7,1258.7,1228984
24-Dec-12,1262,1271.1,1260.1,1266.2,627409
26-Dec-12,1267,1269.15,1255.3,1262.2,717629
27-Dec-12,1264.9,1264.9,1247.65,1250.95,997079
28-Dec-12,1254,1272,1250.75,1267.5,750811
31-Dec-12,1261,1265.6,1252,1255.85,352085
1-Jan-13,1266.95,1267.9,1260,1264.15,254790
2-Jan-13,1267,1272.4,1255.55,1263.3,940123
3-Jan-13,1265,1284,1259.95,1280.6,1317565
4-Jan-13,1285,1301,1280.9,1299.2,2614380
7-Jan-13,1300,1304,1290.25,1294.85,910376
8-Jan-13,1295,1304.3,1294.3,1300.25,1170935
9-Jan-13,1301,1307.4,1273.15,1276.6,1567949
10-Jan-13,1279.9,1282.1,1255.3,1258.4,2261419
11-Jan-13,1290,1322.5,1290,1306.35,3902503
14-Jan-13,1319,1348.45,1307.35,1334.5,2895112
15-Jan-13,1390,1400,1327,1337.45,4131489
16-Jan-13,1336.9,1355,1309,1347.75,2054746
17-Jan-13,1349.7,1371.8,1343,1362,1514272
18-Jan-13,1362.5,1366.05,1338.05,1351,720235
21-Jan-13,1352.5,1354.9,1327.1,1330,630019
22-Jan-13,1326,1331.7,1308.1,1317.5,693315
