"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TCS","EQ","03-May-2021","       3035.65","       3024.90","       3055.00","       3004.00","       3035.85","       3037.00","       3035.65","    1545831","          4692605166.20","     109575","     636257","         41.16"
"TCS","EQ","04-May-2021","       3037.00","       3062.80","       3090.00","       3035.00","       3052.90","       3049.75","       3061.20","    1990777","          6094167595.30","      94786","     912440","         45.83"
"TCS","EQ","05-May-2021","       3049.75","       3070.00","       3099.40","       3052.40","       3095.75","       3095.70","       3083.22","    1939289","          5979255988.85","     115524","    1003404","         51.74"
"TCS","EQ","06-May-2021","       3095.70","       3105.50","       3134.00","       3074.00","       3115.90","       3111.45","       3107.27","    1791671","          5567213773.10","      72680","     831131","         46.39"
"TCS","EQ","07-May-2021","       3111.45","       3133.00","       3159.85","       3111.80","       3131.00","       3132.90","       3136.92","    1912540","          5999492210.40","      94194","     946390","         49.48"
"TCS","EQ","10-May-2021","       3132.90","       3145.95","       3164.20","       3125.00","       3147.00","       3145.50","       3145.94","    2137153","          6723356016.90","     100229","    1258111","         58.87"
"TCS","EQ","11-May-2021","       3145.50","       3125.00","       3128.10","       3091.15","       3120.00","       3122.60","       3111.04","    2415625","          7515102667.10","      93623","    1484826","         61.47"
"TCS","EQ","12-May-2021","       3122.60","       3120.00","       3120.00","       3070.60","       3085.50","       3087.60","       3086.76","    1978558","          6107329661.55","     101860","    1219688","         61.65"
"TCS","EQ","14-May-2021","       3087.60","       3098.50","       3098.50","       3040.00","       3052.00","       3051.50","       3051.89","    2043935","          6237862560.75","     126572","    1281535","         62.70"
"TCS","EQ","17-May-2021","       3051.50","       3055.00","       3075.20","       3036.00","       3072.75","       3069.75","       3054.41","    2890462","          8828642067.75","      98199","    1759849","         60.88"
"TCS","EQ","18-May-2021","       3069.75","       3100.00","       3124.00","       3078.00","       3089.00","       3088.80","       3097.13","    2098538","          6499442922.95","      65396","    1156834","         55.13"
